,UNITID,Year,INSTNM,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,ACTCMMID,SAT_AVG,UGDS,NUM4_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,INEXPFTE,AVGFACSAL,C150_4,RET_FT4,PCTFLOAN,CDR2,COMP_ORIG_YR2_RT,COMP_4YR_TRANS_YR2_RT,WDRAW_ORIG_YR2_RT,COMPL_RPY_3YR_RT,OVERALL_YR4_N,DEBT_MDN,MN_EARN_WNE_P10,ICLEVEL,UGDS_MEN,UGDS_WOMEN,GRADS,BOOKSUPPLY,ROOMBOARD_ON,GT_THRESHOLD_P8,cluster
269,122436.0,2011,University of San Diego,3.0,4.0,2.0,0.5129,27.0,1216.0,5299.0,546.0,37372.0,37372.0,12419.0,9998.0,0.7266,0.8779,0.3825,0.019,0.229206963,,0.049323017,0.8998682477,847.0,11000.0,,1.0,0.4473,0.5527,2813.0,1620.0,11602.0,,5
271,122612.0,2011,University of San Francisco,3.0,4.0,2.0,0.6769,25.0,1115.0,5734.0,663.0,36380.0,36380.0,13205.0,11375.0,0.6975,0.8507,0.5264,0.025,0.10318792,,0.087248322,0.8514851485,1132.0,17500.0,,1.0,0.3689,0.6311,3738.0,1500.0,11990.0,,5
279,122931.0,2011,Santa Clara University,3.0,4.0,2.0,0.5923,28.0,1242.0,5072.0,476.0,37368.0,37368.0,12474.0,10899.0,0.8728,0.9281,0.3379,0.01,0.093544137,,0.065876153,0.9279279279,667.0,14000.0,,1.0,0.4872,0.5128,3580.0,1620.0,11742.0,,5
290,123554.0,2011,Saint Mary's College of California,3.0,4.0,2.0,0.7519,24.0,1105.0,2790.0,438.0,35430.0,35430.0,12757.0,9283.0,0.6434,0.8559,0.6087,0.048,0.073593074,,0.085137085,0.8960573477,553.0,14000.0,,1.0,0.3864,0.6136,1118.0,1620.0,12350.0,,5
293,123651.0,2011,Vanguard University of Southern California,3.0,4.0,2.0,0.7899,22.0,1014.0,1708.0,240.0,26342.0,26342.0,8287.0,6705.0,0.593,0.7011,0.5678,0.025,0.116071429,,0.158928571,0.8492307692,549.0,15000.0,,1.0,0.3847,0.6153,252.0,1620.0,8280.0,,5
295,123961.0,2011,University of Southern California,3.0,4.0,2.0,0.2435,31.0,1373.0,17112.0,1771.0,41022.0,41022.0,35920.0,11686.0,0.8888,0.97,0.5061,0.016,0.212984957,,0.04077593,0.9144680851,2483.0,18625.0,,1.0,0.4938,0.5062,19516.0,1500.0,11580.0,,5
307,125727.0,2011,Westmont College,3.0,4.0,2.0,0.7549,26.0,1185.0,1353.0,186.0,34460.0,34460.0,12267.0,8026.0,0.766,0.8688,0.5429,0.009,0.105839416,,0.054744526,,199.0,15500.0,,1.0,0.3703,0.6297,6.0,1610.0,10960.0,,5
308,125763.0,2011,Whittier College,3.0,4.0,2.0,0.7039,23.0,1055.0,1520.0,256.0,35582.0,35582.0,15136.0,8383.0,0.6599,0.8212,0.6355,0.036,0.039577836,,0.055408971,0.8467153285,269.0,16000.0,,1.0,0.4816,0.5184,758.0,1638.0,10026.0,,5
309,125897.0,2011,Woodbury University,3.0,4.0,2.0,0.3753,25.0,1227.0,1253.0,101.0,29132.0,29132.0,10520.0,8514.0,0.5285,0.7687,0.7204,0.058,0.073954984,,0.144694534,0.8333333333,311.0,19250.0,,1.0,0.4637,0.5363,346.0,1700.0,9336.0,,5
317,126669.0,2011,Colorado Christian University,3.0,4.0,2.0,0.7851,,,2298.0,173.0,22040.0,22040.0,5178.0,5659.0,0.4384,0.664,0.6175,0.041,0.082156611,,0.290115533,,664.0,8250.0,,1.0,0.3573,0.6427,352.0,1300.0,9120.0,,5
318,126678.0,2011,Colorado College,3.0,4.0,2.0,0.3356,30.0,1327.0,2040.0,160.0,38898.0,38898.0,17162.0,9537.0,0.8726,0.9563,0.2875,0.014,0.060606061,,0.069264069,0.9182692308,198.0,13243.5,,1.0,0.4672,0.5328,26.0,1116.0,9416.0,,5
327,127060.0,2011,University of Denver,3.0,4.0,2.0,0.7158,28.0,1229.0,5431.0,533.0,36501.0,36501.0,13954.0,8523.0,0.7589,0.8748,0.4013,0.024,0.125778331,,0.139476961,0.8771551724,1048.0,14000.0,,1.0,0.4369,0.5631,6387.0,1749.0,9963.0,,5
340,127918.0,2011,Regis University,3.0,4.0,2.0,0.7226,24.0,1082.0,5301.0,232.0,30598.0,30598.0,4670.0,6896.0,0.6074,0.9278,0.6226,0.048,0.03810868,0.010585745,0.342272407,0.8404255319,1307.0,13037.5,,1.0,0.3454,0.6546,5475.0,1749.0,9400.0,,5
346,128498.0,2011,Albertus Magnus College,3.0,4.0,2.0,0.79,,880.0,1569.0,147.0,24374.0,24374.0,5096.0,5830.0,0.5208,0.7189,0.845,0.06,0.137867647,,0.264705882,0.7199124726,500.0,16000.0,,1.0,0.3199,0.6801,390.0,984.0,10460.0,,5
348,128744.0,2011,University of Bridgeport,3.0,4.0,2.0,0.5745,19.0,899.0,2534.0,380.0,26370.0,26370.0,7118.0,7200.0,0.2988,0.5245,0.7736,0.095,0.133089133,,0.202686203,0.7966101695,588.0,10250.0,,1.0,0.3015,0.6985,2621.0,1500.0,11400.0,,5
351,128902.0,2011,Connecticut College,3.0,4.0,2.0,0.3659,,,1770.0,230.0,43990.0,43990.0,16529.0,8667.0,0.8655,0.8944,0.3725,0.016,0.0875,,,0.9377593361,236.0,17193.5,,1.0,0.3966,0.6034,7.0,900.0,9120.0,,5
356,129242.0,2011,Fairfield University,3.0,4.0,2.0,0.6465,25.0,1145.0,3689.0,487.0,39040.0,39040.0,10475.0,9514.0,0.8259,0.8869,0.482,0.014,0.061933535,,0.126888218,0.9527972028,623.0,18027.5,,1.0,0.4158,0.5842,1258.0,900.0,11740.0,,5
358,129525.0,2011,University of Hartford,3.0,4.0,2.0,0.6156,,1090.0,5216.0,1084.0,29852.0,29852.0,12536.0,7394.0,0.6829,0.691,0.6216,0.038,0.121881682,,0.097647897,0.881147541,1234.0,12750.0,,1.0,0.4806,0.5194,1682.0,860.0,11572.0,,5
365,129941.0,2011,University of New Haven,3.0,4.0,2.0,0.736,23.0,1050.0,4159.0,1058.0,30750.0,30750.0,8271.0,8233.0,0.5271,0.7174,0.7324,0.027,0.078714859,,0.114056225,0.8275862069,763.0,12250.0,,1.0,0.4994,0.5006,1746.0,1000.0,12778.0,,5
369,130183.0,2011,Post University,3.0,4.0,3.0,0.5587,19.0,823.0,3039.0,241.0,25050.0,25050.0,2324.0,6749.0,0.2764,0.5899,0.5744,0.13,0.092391304,,0.27826087,0.7700534759,531.0,7150.0,,1.0,0.4074,0.5926,623.0,1500.0,9700.0,,5
371,130226.0,2011,Quinnipiac University,3.0,4.0,2.0,0.7198,24.0,1095.0,6025.0,1034.0,34250.0,34250.0,9530.0,9933.0,0.7775,0.8556,0.5878,0.009,0.071851226,,0.036348267,0.9191919192,1126.0,17125.0,,1.0,0.3701,0.6299,2048.0,800.0,12730.0,,5
372,130253.0,2011,Sacred Heart University,3.0,4.0,2.0,0.6624,,943.0,4163.0,681.0,31440.0,31440.0,7518.0,7517.0,0.6689,0.7646,0.626,0.018,0.075550892,,0.083945436,0.8747913189,888.0,14500.0,,1.0,0.3927,0.6073,2051.0,2250.0,12340.0,,5
373,130314.0,2011,University of Saint Joseph,3.0,4.0,2.0,0.8119,18.0,983.0,1037.0,168.0,28530.0,28530.0,9088.0,7204.0,0.418,0.7826,0.9232,0.043,0.122977346,,0.080906149,0.837944664,243.0,15500.0,,1.0,0.0096,0.9904,1267.0,1000.0,11680.0,,5
376,130590.0,2011,Trinity College,3.0,4.0,2.0,0.4317,27.0,1264.0,2238.0,194.0,42420.0,42420.0,20703.0,8982.0,0.8594,0.9213,0.1252,0.01,0.052980133,,0.049668874,0.927480916,290.0,16334.0,,1.0,0.4991,0.5009,104.0,1000.0,10960.0,,5
379,130697.0,2011,Wesleyan University,3.0,4.0,2.0,0.2203,31.0,1391.0,2837.0,358.0,42084.0,42084.0,24561.0,9897.0,0.9437,0.9785,0.3613,0.005,0.074074074,,0.042735043,0.8985849057,360.0,19219.0,,1.0,0.4854,0.5146,361.0,1333.0,11592.0,,5
381,130794.0,2011,Yale University,3.0,4.0,2.0,0.0753,32.0,1473.0,5296.0,248.0,38300.0,38300.0,97654.0,14119.0,0.9632,0.99,0.0838,0.01,0.052238806,,,0.9257641921,732.0,7125.0,,1.0,0.4962,0.5038,6391.0,3100.0,11500.0,,5
387,131098.0,2011,Wesley College,3.0,4.0,2.0,0.6295,,850.0,1788.0,550.0,20580.0,20580.0,5811.0,4971.0,0.318,0.4536,0.5176,0.106,0.064676617,,0.190713101,0.8164556962,686.0,9500.0,,1.0,0.4569,0.5431,185.0,2000.0,9550.0,,5
389,131159.0,2011,American University,3.0,4.0,2.0,0.4347,29.0,1282.0,6665.0,872.0,36697.0,36697.0,10572.0,10050.0,0.7926,0.9071,0.4904,0.018,0.115511551,0.008250825,0.075907591,0.9121140143,1131.0,16750.0,,1.0,0.4041,0.5959,5725.0,600.0,13468.0,,5
390,131283.0,2011,The Catholic University of America,3.0,4.0,2.0,0.8596,24.0,1106.0,3519.0,565.0,33780.0,33780.0,14005.0,8705.0,0.6871,0.7983,0.5782,0.007,0.099099099,,0.046332046,0.9309623431,679.0,15000.0,,1.0,0.4507,0.5493,3394.0,1250.0,12742.0,,5
